vessel_type,dwt,engine_power_kw,speed_knots,distance_nm,cargo_load_pct,weather_beaufort,draft_meters,fuel_type,fuel_consumption_tons,co2_emissions_tons,sox_emissions_tons,nox_emissions_tons,operational_cost_usd
Tanker,95323.49,21401.4,13.43,1445.83,31.26,5,11.7,Methanol,255.93,343.78,0.0,4.07,76394.93
Container,65312.78,28843.68,16.69,1533.56,76.89,3,14.3,HFO,444.11,1381.83,35.71,89.27,151751.7
Bulk Carrier,58713.08,14538.5,14.5,1483.22,54.68,3,12.55,Hydrogen,179.31,0.0,0.0,0.0,753094.93
Container,102935.1,25952.42,19.48,7344.5,85.42,5,14.6,VLSFO,1934.5,5758.22,39.66,356.91,951772.14
Bulk Carrier,80231.0,14302.25,13.59,11307.13,53.54,4,12.47,Methanol,1843.69,2476.54,0.0,29.35,550342.51
Bulk Carrier,43889.98,12779.07,14.51,6782.77,53.41,7,12.12,Methanol,1050.98,1411.74,0.0,16.73,313719.0
Container,147544.71,26575.87,14.72,3365.84,35.23,3,11.74,Methanol,656.56,881.92,0.0,10.45,195982.31
Container,83399.71,54479.09,22.93,5247.69,71.48,3,13.27,Hydrogen,1863.41,0.0,0.0,0.0,7826307.68
Tanker,173102.59,42441.88,16.91,1489.04,71.94,5,13.82,Methanol,710.55,954.44,0.0,11.31,212098.56
Container,91126.15,44754.39,17.94,3368.63,89.33,1,14.02,VLSFO,1425.71,4243.78,29.23,263.04,701451.28
Tanker,166990.47,39077.09,12.32,11357.76,84.3,5,13.83,HFO,7454.34,23194.04,599.33,1498.32,2547149.01
Tanker,127937.84,36980.18,15.45,1528.46,41.3,6,12.11,LNG,394.8,1076.4,0.0,19.19,201464.81
Bulk Carrier,46993.39,13240.5,12.97,3369.16,92.54,3,14.54,VLSFO,644.33,1917.91,13.21,118.88,317010.26
Bulk Carrier,39304.72,17372.84,15.48,5168.45,92.19,1,14.71,VLSFO,941.79,2803.33,19.31,173.76,463360.24
Bulk Carrier,94392.06,17470.89,12.46,3617.12,72.07,3,13.51,Methanol,893.45,1200.13,0.0,14.22,266694.9
Tanker,162020.06,43243.73,12.31,5118.28,40.85,3,11.76,HFO,1864.7,5801.98,149.92,374.8,637168.04
Bulk Carrier,49793.24,23351.12,15.55,4773.97,77.61,4,14.52,Hydrogen,1094.31,0.0,0.0,0.0,4596107.53
Bulk Carrier,39292.73,20293.17,15.67,3382.3,69.37,3,13.81,Hydrogen,604.72,0.0,0.0,0.0,2539816.51
Container,77276.48,48449.76,18.23,7124.74,40.11,5,11.56,Ammonia,2117.27,0.0,0.0,39.38,984532.3
Tanker,91718.18,44861.14,13.05,1475.59,66.3,4,13.27,LNG,719.08,1960.55,0.0,34.95,366947.06
Tanker,136035.57,28958.19,15.39,1450.38,32.82,3,11.34,LNG,217.27,592.37,0.0,10.56,110871.07
Tanker,102687.37,41951.81,16.49,1572.64,70.49,2,13.47,Methanol,695.63,934.4,0.0,11.07,207644.32
Container,115238.9,31981.28,17.01,3620.2,66.99,4,13.84,VLSFO,996.82,2967.14,20.43,183.91,490437.0
Bulk Carrier,76561.83,8738.95,15.17,6840.33,46.54,2,11.92,Ammonia,451.83,0.0,0.0,8.4,210098.84
Container,127398.37,38949.45,23.82,3498.96,61.26,4,12.65,Methanol,972.85,1306.77,0.0,15.49,290394.36
Tanker,154966.78,23379.1,15.91,1460.78,79.26,4,14.04,LNG,333.31,908.76,0.0,16.2,170088.34
Bulk Carrier,30892.26,15764.9,15.83,10648.45,43.59,4,12.18,Methanol,1351.96,1816.02,0.0,21.52,403558.93
Tanker,177366.06,21691.0,15.74,6924.57,97.57,5,15.54,Hydrogen,2038.75,0.0,0.0,0.0,8562750.24
Bulk Carrier,43306.76,19354.65,11.02,10728.01,57.51,3,12.47,Hydrogen,2272.45,0.0,0.0,0.0,9544299.49
Bulk Carrier,30032.54,18637.54,15.9,1434.37,58.16,5,12.38,Ammonia,253.18,0.0,0.0,4.71,117729.76
Container,90978.75,46738.37,19.09,3482.95,81.82,4,14.45,HFO,1572.36,4892.37,126.42,316.04,537275.46
Tanker,149453.25,17908.9,16.25,11169.45,79.29,6,14.36,LNG,2162.51,5896.0,0.0,105.1,1103529.75
Tanker,164183.7,37675.06,15.15,1458.22,73.04,4,12.99,VLSFO,583.29,1736.22,11.96,107.62,286979.1
Bulk Carrier,72931.45,9201.42,15.27,1529.24,93.66,5,15.3,LNG,182.82,498.44,0.0,8.88,93291.84
Tanker,198141.23,36729.8,16.29,5091.28,93.98,3,14.42,HFO,2203.23,6855.32,177.14,442.85,752844.77
Tanker,173477.32,18630.69,16.03,1545.49,79.74,4,14.55,Hydrogen,296.58,0.0,0.0,0.0,1245639.41
Container,54724.47,39327.75,14.48,3408.53,55.31,3,12.2,VLSFO,1201.3,3575.8,24.63,221.64,591040.82
Tanker,164399.88,26051.64,13.5,5213.11,95.94,4,14.83,Hydrogen,1945.15,0.0,0.0,0.0,8169641.52
Tanker,126496.74,38715.49,14.4,3442.87,78.29,3,13.44,HFO,1532.58,4768.58,123.22,308.05,523681.14
Tanker,148835.01,30981.66,16.01,5056.01,61.04,3,13.42,Methanol,1491.84,2003.91,0.0,23.75,445312.99
Bulk Carrier,57439.48,13437.28,15.56,4936.13,63.82,5,13.1,Ammonia,649.23,0.0,0.0,12.08,301892.19
Tanker,177396.35,38480.11,14.04,6757.71,99.5,4,15.58,VLSFO,3883.78,11560.47,79.62,716.56,1910821.25
Bulk Carrier,48837.22,24992.16,12.19,11241.37,45.46,4,12.47,Methanol,3107.49,4174.14,0.0,49.47,927586.28
Tanker,129521.84,22082.27,16.24,7145.98,33.04,5,12.09,HFO,998.81,3107.77,80.3,200.76,341292.78
Bulk Carrier,60548.82,8510.89,13.51,1429.48,71.86,3,13.35,Methanol,149.96,201.43,0.0,2.39,44762.86
Container,55603.3,39045.22,17.28,5106.04,31.69,3,11.11,HFO,982.6,3057.33,79.0,197.5,335752.77
Bulk Carrier,63559.63,12693.44,14.87,5047.04,91.2,2,14.3,Hydrogen,701.52,0.0,0.0,0.0,2946388.21
Tanker,171026.18,38316.23,13.72,6878.53,47.13,3,12.9,VLSFO,2372.59,7062.26,48.64,437.74,1167315.63
Container,140137.75,25507.44,23.41,4851.91,37.57,4,11.48,VLSFO,521.84,1553.3,10.7,96.28,256744.41
Container,146531.64,31352.86,14.36,7283.21,43.17,2,12.22,Ammonia,1549.44,0.0,0.0,28.82,720489.45
Bulk Carrier,78102.33,24644.85,12.6,4858.07,48.09,2,11.95,Methanol,1174.98,1578.29,0.0,18.71,350731.16
Tanker,146931.86,31536.59,13.56,1513.97,80.72,3,13.74,LNG,565.42,1541.58,0.0,27.48,288531.3
Bulk Carrier,93969.48,11631.58,12.39,10803.05,47.97,3,12.11,LNG,983.48,2681.42,0.0,47.8,501869.55
Bulk Carrier,70966.44,11083.49,14.34,7292.1,54.74,5,12.82,Hydrogen,796.03,0.0,0.0,0.0,3343325.41
Container,102240.84,39966.21,15.84,6824.34,74.25,3,14.34,HFO,2712.68,8440.44,218.1,545.25,926921.66
Container,124108.98,21608.19,20.73,1430.11,33.39,4,11.44,Ammonia,140.28,0.0,0.0,2.61,65230.38
Bulk Carrier,99888.28,23274.67,15.6,7244.74,43.84,7,11.6,LNG,1346.2,3670.37,0.0,65.43,686967.43
Bulk Carrier,90154.64,12537.79,13.0,11489.26,96.11,5,14.16,Ammonia,2226.44,0.0,0.0,41.41,1035295.73
Container,123042.86,38232.48,21.28,3443.85,34.81,4,12.17,Methanol,736.44,989.22,0.0,11.72,219826.61
Tanker,172861.69,27061.76,13.0,11299.57,56.53,4,13.15,Ammonia,3096.24,0.0,0.0,57.59,1439749.36
Container,76471.67,29400.1,17.8,1535.84,40.94,3,12.51,HFO,289.68,901.33,23.29,58.23,98983.25
Container,68218.6,41147.74,20.29,4784.73,60.02,3,12.83,VLSFO,1289.05,3836.99,26.43,237.83,634212.42
Bulk Carrier,33847.07,18889.44,12.5,3655.68,68.04,6,14.02,VLSFO,918.02,2732.57,18.82,169.37,451665.25
Bulk Carrier,61319.29,13107.37,14.41,7013.33,40.12,4,12.34,Hydrogen,627.04,0.0,0.0,0.0,2633584.03
Container,142989.19,50763.59,21.57,1566.12,90.46,4,14.93,Hydrogen,644.39,0.0,0.0,0.0,2706433.14
Container,129336.89,26737.17,16.34,1455.22,83.18,4,13.56,Ammonia,426.41,0.0,0.0,7.93,198280.27
Tanker,110643.54,21738.55,13.83,5040.88,97.81,3,14.46,LNG,1361.59,3712.33,0.0,66.17,694821.22
Tanker,168986.87,36058.85,14.22,6681.74,95.09,4,14.29,Ammonia,3093.0,0.0,0.0,57.53,1438244.44
Tanker,94054.56,18249.26,16.44,7162.91,90.96,4,14.51,VLSFO,1462.82,4354.22,29.99,269.89,719705.12
Bulk Carrier,60399.88,21190.59,12.32,11214.21,86.27,4,13.88,HFO,3465.39,10782.5,278.62,696.54,1184124.94
Tanker,196403.71,34574.45,14.95,1472.12,74.28,4,13.31,Methanol,605.69,813.59,0.0,9.64,180797.49
Tanker,110151.39,24995.65,16.46,1552.25,90.18,5,13.94,LNG,430.43,1173.56,0.0,20.92,219649.39
Bulk Carrier,35992.64,16971.25,13.15,10906.25,59.42,3,12.74,Ammonia,1928.06,0.0,0.0,35.86,896546.63
Tanker,195782.55,34480.36,16.42,4750.79,65.07,3,13.49,Ammonia,1288.55,0.0,0.0,23.97,599177.16
Tanker,87369.3,22097.97,14.37,4945.74,32.54,4,11.97,VLSFO,788.01,2345.6,16.15,145.39,387703.06
Tanker,136276.64,35770.92,13.5,1516.85,79.95,3,13.62,LNG,555.7,1515.1,0.0,27.01,283574.58
Container,144528.91,26509.22,16.24,4996.67,37.36,6,11.87,Hydrogen,846.54,0.0,0.0,0.0,3555473.8
Bulk Carrier,41141.52,9531.06,14.11,4983.03,68.83,3,13.87,LNG,436.06,1188.91,0.0,21.19,222523.22
Bulk Carrier,52963.01,8784.32,14.56,5170.63,67.77,6,13.46,Ammonia,555.97,0.0,0.0,10.34,258527.13
Bulk Carrier,85707.68,21711.73,14.72,3551.21,43.11,4,12.45,VLSFO,612.17,1822.18,12.55,112.95,301187.46
Bulk Carrier,82648.18,22281.08,13.77,5062.52,36.01,5,11.77,Hydrogen,845.54,0.0,0.0,0.0,3551287.94
Bulk Carrier,98141.29,15072.08,12.87,10942.59,38.36,2,11.54,VLSFO,1219.36,3629.56,25.0,224.97,599926.48
Tanker,196222.01,23939.28,12.4,1459.51,85.38,6,14.28,Ammonia,530.65,0.0,0.0,9.87,246752.82
Tanker,142352.45,29488.94,14.02,11204.79,82.19,3,14.48,Hydrogen,3947.79,0.0,0.0,0.0,16580716.14
Bulk Carrier,89428.08,17295.76,14.22,4944.63,41.9,4,11.82,Methanol,731.98,983.24,0.0,11.65,218496.95
Tanker,150439.23,43437.06,16.43,10466.23,98.41,8,14.7,HFO,7063.43,21977.74,567.9,1419.75,2413575.68
Bulk Carrier,96478.43,19979.23,14.53,11532.28,88.93,5,14.13,Methanol,3650.32,4903.29,0.0,58.11,1089619.7
Container,55276.08,59347.99,21.31,3674.73,72.57,4,13.83,VLSFO,1764.12,5251.08,36.16,325.48,867946.45
Tanker,193837.25,24978.96,13.92,11326.62,44.05,3,12.6,HFO,2308.98,7184.36,185.64,464.11,788979.59
Tanker,100038.7,23365.22,13.36,6894.9,88.4,4,14.77,Methanol,2414.95,3243.89,0.0,38.45,720864.04
Tanker,138022.19,24896.2,12.13,10562.1,77.04,8,14.19,Methanol,5345.14,7179.86,0.0,85.09,1595525.33
Tanker,133280.83,22925.22,15.88,7249.02,54.63,6,13.34,VLSFO,1569.27,4671.09,32.17,289.53,772080.9
Bulk Carrier,61096.01,23265.35,13.0,1474.02,85.99,3,14.58,HFO,481.33,1497.64,38.7,96.75,164469.91
Bulk Carrier,40244.19,17837.94,13.65,1540.01,95.52,5,14.14,Methanol,489.4,657.39,0.0,7.79,146086.65
Container,124341.19,58324.61,18.16,3376.04,92.88,4,15.09,LNG,2043.44,5571.37,0.0,99.31,1042769.0
Container,92996.7,47590.37,23.35,4965.84,53.98,1,12.61,LNG,1066.58,2907.98,0.0,51.84,544274.21
Tanker,148794.1,29712.65,16.14,5107.48,35.88,4,11.2,VLSFO,925.49,2754.82,18.97,170.75,455341.43
Container,89153.09,47810.83,22.37,11203.7,83.59,5,13.8,LNG,4187.74,11417.7,0.0,203.52,2137003.11
Bulk Carrier,57035.3,12725.39,13.24,3524.58,58.31,2,13.16,Ammonia,415.93,0.0,0.0,7.74,193405.57
Bulk Carrier,52569.34,19577.84,13.31,11115.98,59.01,3,13.01,LNG,2006.21,5469.84,0.0,97.5,1023767.48
Tanker,165461.96,44094.64,16.96,3428.93,93.08,5,15.16,HFO,1891.83,5886.4,152.1,380.26,646439.18
Tanker,174627.74,40803.08,15.66,3570.43,33.66,5,11.25,VLSFO,938.63,2793.93,19.24,173.18,461805.93
Bulk Carrier,95712.64,11696.1,13.13,5219.17,39.92,5,11.87,VLSFO,550.07,1637.35,11.28,101.49,270636.72
Bulk Carrier,73514.89,24301.62,13.8,4856.82,89.77,6,14.44,Hydrogen,1723.29,0.0,0.0,0.0,7237808.28
Container,123440.41,59392.06,23.14,4864.2,56.43,3,12.84,LNG,1503.96,4100.48,0.0,73.09,767469.21
Tanker,178729.01,42030.64,15.61,1429.03,69.27,3,13.24,Hydrogen,527.25,0.0,0.0,0.0,2214454.22
Tanker,84143.71,19710.7,13.44,11248.64,68.46,4,13.52,Methanol,2974.19,3995.08,0.0,47.35,887795.37
Container,119021.85,50529.37,19.76,5084.47,32.35,4,11.16,Ammonia,1120.11,0.0,0.0,20.83,520850.06
Container,140534.89,59434.43,14.63,3551.38,47.77,3,12.97,Hydrogen,1596.13,0.0,0.0,0.0,6703726.02
Container,98702.64,39682.8,14.35,4953.74,99.8,2,15.73,VLSFO,2765.29,8231.17,56.69,510.2,1360524.67
Bulk Carrier,75914.2,13279.14,12.5,10998.58,91.5,5,14.11,Hydrogen,2301.23,0.0,0.0,0.0,9665152.47
Tanker,109928.55,34245.89,12.84,10555.08,93.66,4,14.75,Methanol,6405.27,8603.88,0.0,101.97,1911972.44
Container,73405.15,21027.34,19.48,3405.78,79.79,4,13.81,HFO,686.53,2136.14,55.2,137.99,234588.89
Container,72008.53,51250.1,23.16,6813.11,82.31,3,13.46,HFO,2642.94,8223.44,212.49,531.23,903091.31
Container,106973.68,20529.7,18.88,7058.97,97.42,1,15.34,HFO,1329.17,4135.69,106.87,267.16,454178.36
Container,93225.74,35488.48,21.16,5187.18,47.91,3,12.37,Hydrogen,921.83,0.0,0.0,0.0,3871683.93
Tanker,110476.23,26742.8,13.15,4876.81,34.57,4,11.3,Ammonia,884.87,0.0,0.0,16.46,411464.76
Container,90706.82,53136.98,18.93,11397.66,73.3,1,13.0,Hydrogen,4373.0,0.0,0.0,0.0,18366609.65
Container,140298.86,33485.85,15.62,1546.1,64.82,4,13.05,LNG,456.86,1245.61,0.0,22.2,233135.29
Bulk Carrier,82230.81,18661.17,13.41,11531.43,55.17,2,12.32,VLSFO,2006.83,5973.53,41.14,370.26,987359.62
Container,148297.84,46976.81,16.45,7089.87,44.71,4,12.37,VLSFO,2565.75,7637.2,52.6,473.38,1262347.21
Container,110505.31,25066.76,14.04,4954.95,42.31,8,11.97,Methanol,1331.06,1787.95,0.0,21.19,397321.33
Bulk Carrier,65598.24,8654.73,13.74,7150.36,78.01,5,13.21,LNG,723.1,1971.52,0.0,35.14,369000.34
Tanker,153353.24,15903.74,13.66,11212.39,47.64,3,12.55,VLSFO,1483.71,4416.41,30.42,273.74,729985.9
Container,54750.52,24808.16,15.81,1572.12,93.16,7,14.04,LNG,490.18,1336.46,0.0,23.82,250139.42
Bulk Carrier,74360.54,15042.25,12.18,3591.09,73.55,6,13.01,VLSFO,853.7,2541.12,17.5,157.51,420019.76
Bulk Carrier,53950.29,23844.39,14.33,1522.6,39.66,4,11.45,Hydrogen,254.93,0.0,0.0,0.0,1070721.64
Container,147524.24,28065.27,14.88,3570.07,57.4,3,12.85,LNG,777.08,2118.68,0.0,37.77,396544.6
Bulk Carrier,77911.58,13658.12,11.4,7065.55,70.73,5,13.68,LNG,1280.0,3489.88,0.0,62.21,653186.46
Tanker,195767.61,44105.36,16.88,6834.18,53.51,4,12.35,Hydrogen,2446.67,0.0,0.0,0.0,10276023.44
Bulk Carrier,55341.4,16417.14,12.43,11322.08,70.0,5,13.47,Hydrogen,2415.93,0.0,0.0,0.0,10146910.59
Bulk Carrier,71206.43,21617.44,12.09,3380.34,63.65,3,13.33,Hydrogen,797.52,0.0,0.0,0.0,3349604.95
Container,72914.67,29618.0,21.13,11398.21,42.58,3,11.56,LNG,1556.53,4243.8,0.0,75.65,794294.78
Container,99466.16,43103.97,21.53,1438.69,90.13,4,14.32,HFO,557.56,1734.84,44.83,112.07,190518.56
Container,138580.63,58706.24,16.95,4811.86,54.35,2,13.04,Hydrogen,1960.66,0.0,0.0,0.0,8234772.3
Tanker,132723.61,40093.58,13.44,1543.37,87.46,6,14.87,Hydrogen,945.95,0.0,0.0,0.0,3972982.93
Container,77767.32,25281.35,18.53,6900.98,43.72,3,12.67,VLSFO,1079.06,3211.93,22.12,199.09,530897.91
Container,107851.42,44057.88,20.71,1475.8,68.64,5,13.04,Hydrogen,510.09,0.0,0.0,0.0,2142384.36
Bulk Carrier,66547.38,17864.85,11.53,7129.61,65.06,4,12.92,VLSFO,1759.78,5238.15,36.08,324.68,865810.66
Tanker,175074.39,26470.6,14.74,3620.91,52.15,4,12.56,HFO,850.06,2644.93,68.34,170.86,290464.34
Container,88235.81,48779.46,14.34,6957.77,70.24,4,13.43,Hydrogen,3700.69,0.0,0.0,0.0,15542899.44
Container,75291.71,41073.0,14.2,5184.25,32.82,2,11.25,VLSFO,1275.63,3797.05,26.15,235.35,627611.69
Bulk Carrier,47190.19,17009.31,11.58,7044.0,38.97,3,11.5,Methanol,1175.72,1579.28,0.0,18.72,350951.9
Tanker,120369.53,23772.39,14.25,10461.63,84.96,2,14.53,VLSFO,2965.94,8828.42,60.8,547.22,1459243.13
Tanker,161144.48,31751.35,13.94,10807.67,40.36,5,12.02,LNG,2720.88,7418.37,0.0,132.23,1388464.83
Bulk Carrier,38763.69,11334.65,13.81,3624.25,33.28,2,11.34,Ammonia,238.52,0.0,0.0,4.44,110911.72
Bulk Carrier,60624.91,15482.21,15.78,1556.16,86.06,7,13.94,Methanol,392.54,527.28,0.0,6.25,117173.71
Tanker,195649.54,20184.03,12.86,11250.86,56.09,8,13.23,Ammonia,3003.19,0.0,0.0,55.86,1396481.83
Tanker,133414.17,18617.46,12.68,10588.25,90.65,4,14.46,LNG,2734.22,7454.73,0.0,132.88,1395270.0
Tanker,127660.78,22744.28,16.07,11525.95,95.77,5,15.32,LNG,3191.73,8702.11,0.0,155.12,1628738.04
Tanker,84761.24,25434.82,12.94,7189.25,83.42,2,13.64,LNG,2123.49,5789.62,0.0,103.2,1083617.79
Tanker,173314.02,24143.09,13.89,7055.54,65.75,4,13.36,VLSFO,1883.28,5605.77,38.61,347.46,926573.05
Bulk Carrier,87203.77,15753.37,12.57,11135.14,30.62,7,11.31,Ammonia,1433.16,0.0,0.0,26.66,666417.66
Bulk Carrier,90527.36,8669.22,11.74,1493.68,99.79,3,14.82,Methanol,243.01,326.42,0.0,3.87,72538.79
Bulk Carrier,85407.83,20893.14,13.79,1475.69,55.98,4,12.41,Ammonia,285.79,0.0,0.0,5.32,132892.21
Container,77142.08,53418.21,21.75,6880.04,41.04,5,12.62,LNG,1837.3,5009.32,0.0,89.29,937574.17
Tanker,118409.29,24344.31,13.03,11193.06,79.9,3,14.29,VLSFO,3485.21,10374.09,71.45,643.02,1714725.55
Tanker,159170.05,35312.58,14.91,7267.93,80.13,5,13.73,LNG,3049.41,8314.08,0.0,148.2,1556111.77
Container,92539.41,38620.61,14.0,10572.76,98.76,4,14.98,Methanol,7019.81,9429.35,0.0,111.76,2095411.97
Bulk Carrier,30271.04,12448.37,11.89,7337.95,41.52,5,12.43,LNG,847.5,2310.69,0.0,41.19,432481.78
Container,66934.75,34890.31,18.38,7043.55,62.26,2,12.46,Methanol,1892.05,2541.5,0.0,30.12,564777.33
Container,107928.94,26117.03,21.59,7338.52,65.92,3,13.07,Hydrogen,1249.56,0.0,0.0,0.0,5248154.82
Tanker,95505.44,33499.7,13.27,6961.33,58.05,2,12.98,Hydrogen,2265.42,0.0,0.0,0.0,9514758.02
Bulk Carrier,93789.21,11216.39,15.2,10710.45,97.54,4,14.96,VLSFO,1700.82,5062.67,34.87,313.8,836804.84
Container,115125.58,54544.94,14.85,4768.08,32.38,4,11.49,Methanol,1816.66,2440.22,0.0,28.92,542271.98
Bulk Carrier,50123.24,9742.62,15.58,7097.35,92.54,3,14.22,Methanol,962.91,1293.43,0.0,15.33,287428.54
Tanker,126551.39,30986.1,16.7,3502.62,61.65,3,13.47,Hydrogen,854.28,0.0,0.0,0.0,3587974.3
Tanker,126853.62,37742.98,16.22,1461.01,73.02,5,13.57,LNG,537.46,1465.36,0.0,26.12,274264.79
Container,84879.88,25109.6,20.49,4962.98,35.05,4,11.91,HFO,632.98,1969.5,50.89,127.23,216289.06
Container,149816.1,57048.02,14.18,1561.64,33.17,6,11.62,Methanol,768.45,1032.22,0.0,12.23,229382.31
Tanker,135911.16,33893.43,16.57,6885.52,65.63,5,13.66,Hydrogen,2302.02,0.0,0.0,0.0,9668481.2
Container,107910.12,20669.86,23.81,11156.29,99.26,4,15.03,LNG,1782.57,4860.12,0.0,86.63,909647.85
Container,53613.52,41216.08,17.01,3589.9,49.46,3,12.69,Ammonia,969.46,0.0,0.0,18.03,450800.58
Tanker,108173.31,36614.61,13.82,1430.95,94.85,5,15.37,Methanol,886.81,1191.21,0.0,14.12,264713.73
Bulk Carrier,94225.45,12097.39,15.16,1486.55,46.39,8,12.42,Hydrogen,165.73,0.0,0.0,0.0,696051.77
Tanker,185603.29,33999.83,16.17,1547.39,49.01,4,12.02,Hydrogen,401.89,0.0,0.0,0.0,1687951.72
Bulk Carrier,77386.45,23644.47,15.06,3410.44,44.15,3,11.83,VLSFO,580.2,1727.04,11.89,107.05,285460.82
Container,53974.87,57726.45,19.02,1513.03,97.7,3,14.8,VLSFO,975.91,2904.9,20.01,180.06,480149.22
Bulk Carrier,39920.46,11395.95,12.26,6706.49,54.84,4,12.42,HFO,867.33,2698.69,69.73,174.33,296367.54
Container,98714.49,23794.55,15.15,1438.31,66.5,6,13.96,Ammonia,390.65,0.0,0.0,7.27,181654.51
Tanker,173347.09,29466.59,14.91,6654.39,33.66,4,12.18,Ammonia,1175.6,0.0,0.0,21.87,546655.27
Bulk Carrier,74282.85,15478.33,13.77,3503.85,47.66,4,11.93,Methanol,549.38,737.96,0.0,8.75,163990.39
Container,87565.15,50158.74,21.12,3624.1,38.77,3,12.43,HFO,832.38,2589.92,66.92,167.31,284423.1
Bulk Carrier,56648.1,24357.08,15.97,11034.32,54.51,5,12.16,HFO,2407.65,7491.36,193.58,483.94,822695.0
Bulk Carrier,57571.53,19067.64,11.37,1428.38,61.99,6,12.55,HFO,400.58,1246.41,32.21,80.52,136879.16
Bulk Carrier,44639.18,19572.54,14.7,11327.54,50.26,7,12.38,HFO,2271.06,7066.37,182.59,456.48,776022.23
